x0,y0,z0,x1,y1,z1,T K
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.07847036378878447,-0.22784715062426641,-0.2534577669010042,428.218359375
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.005856308442019981,-0.28465535928879593,-0.1985485786673663,498.7349609375
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.12445232505260806,-0.25655411562087693,-0.19744427496265005,383.133984375
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.08315101300666661,-0.270223016981077,-0.1923793086851303,399.5
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.04470925212730717,-0.24167069884186443,-0.24559781906311173,424.79677734375
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.066691988448013,-0.22093156799456215,-0.26719129684391374,394.7546875
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.1048044684448719,-0.22354859493319634,-0.2504877863928895,462.1625
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.12730167538733794,-0.23568952624952832,-0.22575536360270476,493.895703125
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.14532402136062594,-0.21860661607450338,-0.2435710387999993,507.3228515625
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.10812719080534325,-0.24760981699994877,-0.2155797758230591,440.5890625
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.13759863123690214,-0.21150719825404973,-0.2561769210044015,435.48642578125
0.1372664679036747,0.4832099339260817,0.4317239003525689,0.015725445904610197,-0.2552141416780179,-0.24725046364484482,378.7669921875
0.1372664679036747,0.4832099339260817,0.4317239003525689,0.0034223006873562722,-0.29811341342255526,-0.18283130333876607,392.2296875
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.06054100637660667,-0.34624347459787064,-0.09340817015117875,415.98212890625
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.029783438602082213,-0.3123760664743158,-0.15145971749348863,382.4951171875
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.12875209869150844,-0.23301629894185139,-0.22901158344227557,508.0
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.005259542205352102,-0.251406538594833,-0.24542019976818508,398.428125
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.0601496346971625,-0.22830565045230988,-0.2590779022541191,412.27138671875
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.045347018537123696,-0.23841351318209758,-0.24995151440882057,414.06875
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.07040549195070794,-0.2161690717312983,-0.2726062610169173,380.9453125
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.11128522351312928,-0.24647326492678057,-0.2160953241205219,438.6453125
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.07738041439989152,-0.3391473212239072,-0.09761100433504111,388.311328125
0.1372664679036747,0.4832099339260817,0.4317239003525689,-0.07943780477258197,-0.3483662844821295,-0.08396799108923947,408.63076171875
